Text,NER
a-zu,PN
ab-ba-iri,PN
ab2-rig,PN
aga3-us2,PN
dam-gar3,PN
di-ku5,PN
egi-zi,PN
en,PN
engar,PN
gala,PN
gala-mah,PN
gu-za-la2,PN
gudu4,PN
ha-za-num2,PN
iszib,PN
ka-guru7,PN
{lu2}kasz4,PN
ku3-gal2,PN
kuruszda,PN
kusz7,PN
lu2kiri6-mah,PN
lu2-mah,PN
lukur,PN
masz-en-gag,PN
muhaldim,PN
muszen-du3,PN
na-gada,PN
nar,PN
nin-dingir,PN
nu-banda3,PN
ra2-gaba,PN
sagi,PN
sanga,PN
sipa,PN
sukkal,PN
sza13-dub-ba,PN
szabra,PN
szagina,PN
szandana,PN
szitim,PN
szu-ku6,PN
u2-du-lu,PN
u3-kul,PN
u4-da-tusz,PN
ugula-gisz2-da,PN
ugula-ug3-IL2,PN
ugula-usz-bar,PN
um-mi-a,PN
zabar-dab5,PN