Text,NER,POS
diri,MN,N
nesag,MN,N
ezem-dšul-gi min3,MN,N
ezem-an-na min(3),MN,N
ezem-a-bi,MN,N
ezem-dba-ba6,MN,N
gu4-ra2-bi2-mu2-mu2,MN,N
še-kar-ra-gal2-la,MN,N
sig4-(g)a,MN,N
diri še-il2-la,MN,N
ezem-dšu-dsuen,MN,N
(diri ezem-)(d)me-ki-gal2 (us2-sa),MN,N
ga2-udu-ur4,MN,N
ki-siki-dnin-a-zu min(3),MN,N
udruduru5,MN,N
(ezem-)(d)me-ki-gal2,MN,N
ezem-dli9-si4,MN,N
kin-dinanna,MN,N
ni-ik-mu-um,MN,N
kir11-si-ak,MN,N
u5-bi2mušen-gu7,MN,N
ddumu-zi,MN,N
apin-du8-a,MN,N
ezem-maḫ min(3),MN,N
maš(2)-da3/ku3-gu7,MN,N
ezem-an-na,MN,N
maš-da3/ku3-gu7 min(3),MN,N
a2-ki-ti,MN,N
dal,MN,N
gešapin,MN,N
sig4-geši/u3-šub-ba-gar,MN,N
ezem-dšul-gi,MN,N
ses-da/šaḫ2-ku3-gu7,MN,N
ezem-dnin-mug,MN,N
du6-ku3,MN,N
pa4/5-u2-e,MN,N
bara2-za3-gar,MN,N
šu-eš(5)-ša,MN,N
ezem-dšuba3-nun-na,MN,N
še-il2-la,MN,N
ezem-ddumu-zi min(3),MN,N
u5-bi2mušen-gu7 min(3),MN,N
GAN-GAN-e3,MN,N
ses-da/šaḫ2-ku3-gu7 min,MN,N
a-bu-um,MN,N
šu-gar-gal,MN,N
gu4-si-su,MN,N
ezem-damar-dsuen,MN,N
dli9-si4,MN,N
ezem-ddumu-zi,MN,N
šu-gar-ra,MN,N
ki-siki-dnin-a-zu,MN,N
ezem-dnin-a-zu min(3),MN,N
amar-a-a-si,MN,N
ezem-dnin-a-zu,MN,N
ezem-maḫ,MN,N
gi-sig-ga,MN,N
munu4-gu7,MN,N
a2-ki-ti min(3),MN,N
apin-du8-a min(3),MN,N
mu-šu-du7,MN,N
šu-numun,MN,N
še-sag(11)-ku5,MN,N
diri ezem-maḫ,MN,N
ku3-ŠIM (v. ab-e3),MN,N
diri še-sag(11)-ku5,MN,N
še-sag(11)-ku5 min(3),MN,N
UR,MN,N
min(3)-eš3,MN,N
ezem-lum-lum-ne,MN,N
NE-NE-gar,MN,N
nig2-den-lil2-la2,MN,N
nig2-e-ga,MN,N
GAN2-maš,MN,N
diri ezem-dnin-a-zu,MN,N
ezem-a-dara4,MN,N
e2-iti-6,MN,N