tablet_num	relation_type	subject	object	providence	period	dates_referenced	subject_tag	object_tag
P107599	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.08.01"	ANIM	PN
P107618	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.04.25"	ANIM	PN
P107630	person:delivers_animal  	zabar-dab5	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.07.00"	PN	ANIM
P107635	person:delivers_animal  	nu-banda3	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.07.08"	PN	ANIM
P107647	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.09.13"	ANIM	PN
P107655	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.10.29"	ANIM	PN
P107666	person:delivers_animal  	ur-{d}suen	az	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.12.28"	PN	ANIM
P107672	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.01.18 (us2 year)"	ANIM	PN
P107673	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.02.01 (us2 year)"	ANIM	PN
P107675	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.02.16 (us2 year)"	ANIM	PN
P107691	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.06.18 (us2-us2 year)"	ANIM	PN
P107698	person:delivers_animal  	e2-a-i3-li2	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.10.10 (us2 year)"	PN	ANIM
P107699	person:delivers_animal  	zabar-dab5	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.10.12 (us2 year)"	PN	ANIM
P107700	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.10.14 (us2 year)"	ANIM	PN
P107709	person:receives_animal  	gukkal	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.06.25"	ANIM	PN
P107712	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.07.20"	ANIM	PN
P107714	person:receives_animal  	gukkal	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.08.04"	ANIM	PN
P107721	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.09.26"	ANIM	PN
P107722	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.10.02"	ANIM	PN
P107723	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.10.05"	ANIM	PN
P107725	person:delivers_animal  	e2-a-i3-li2	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.10.23"	PN	ANIM
P107727	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.11.20"	ANIM	PN
P107739	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.04.19"	ANIM	PN
P107757	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.11.28"	ANIM	PN
P107764	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.02.03.04"	ANIM	PN
P107771	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.02.10.02"	ANIM	PN
P107779	person:receives_animal  	gukkal	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.03.01.18"	ANIM	PN
P107781	person:receives_animal  	gukkal	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.03.03.02"	ANIM	PN
P107835	person:delivers_animal  	ur-nigar{gar}	masz2	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.06.24"	PN	ANIM
P107843	person:delivers_animal  	lu2-bala-sa6-ga	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.08.18"	PN	ANIM
P107988	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.09.00"	ANIM	PN
P107998	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.11.20"	ANIM	PN
P108004	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.02.02 (us2 year)"	ANIM	PN
P108008	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.03.03 (us2 year)"	ANIM	PN
P108011	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.04.20 (us2 year)"	ANIM	PN
P108012	person:delivers_animal  	sanga	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.04.26 (us2 year)"	PN	ANIM
P108014	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.04.05.02"	ANIM	PN
P108028	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" --.--.02.03"	ANIM	PN
P108671	person:has_son	lu2-{d}nanna	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.06.02.03, Amar-Suen.06.02.26"	PN_1	PN_2
P452242	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.32.05.00"	ANIM	PN
P142903	person:receives_animal  	az	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.11.00"	ANIM	PN
P200533	person:delivers_animal  	szabra	masz2	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.30.09.00"	PN	ANIM
P461504	person:delivers_animal  	szabra	masz2	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.08.30 ?"	PN	ANIM
P212135	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.44.06.27"	ANIM	PN
P212084	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.44.03m.14 (intercalated) =? Šulgi.45.03.14 (intercalated?)"	ANIM	PN
P212184	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.05.03, Šulgi.45.05.13, Šulgi.45.05.--, Šulgi.45.05.30"	ANIM	PN
P211676	person:delivers_animal  	lu2-{d}nanna	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.11.04"	PN	ANIM
P211683	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.06.23"	ANIM	PN
P212101	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.02.01"	ANIM	PN
P212116	person:receives_animal  	az	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.02.18"	ANIM	PN
P212102	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.04.21"	ANIM	PN
P212067	person:delivers_animal  	zabar-dab5	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.12.13"	PN	ANIM
P212096	person:receives_animal  	gukkal	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.09.07"	ANIM	PN
P212079	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.11.00"	ANIM	PN
P211655	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.02.08.26"	ANIM	PN
P212117	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.02.11.28"	ANIM	PN
P109505	person:delivers_animal  	zabar-dab5	masz-da3	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.03.24 (us2-us2 year)"	PN	ANIM
P109509	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.07.24"	ANIM	PN
P109512	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.11.22"	ANIM	PN
P109520	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.03.17 (us2 year)"	ANIM	PN
P109523	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.03.27"	ANIM	PN
P109524	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.05.21"	ANIM	PN
P109534	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.03.01 (us2 year)"	ANIM	PN
P109543	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.05m.08 (intercalated) (us2 year) =? Šulgi.45.05.08 (intercalated?)"	ANIM	PN
P109549	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.47.10.12 (us2 year)"	ANIM	PN
P109567	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.09.20"	ANIM	PN
P109568	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.11.05"	ANIM	PN
P235914	person:delivers_animal  	sanga	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.06.30"	PN	ANIM
P235917	person:delivers_animal  	zabar-dab5	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.04.02.00"	PN	ANIM
P235917	person_delivers:person_recieves	sanga	zabar-dab5	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.04.02.00"	PN_1	PN_2
P235893	person:delivers_animal  	e2-a-i3-li2	masz-da3	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.08.04.23 ?"	PN	ANIM
P406792	person:delivers_animal  	nu-banda3	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.02.03.00"	PN	ANIM
P406847	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.04.25"	ANIM	PN
P406885	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.02.12.27"	ANIM	PN
P406893	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.03.06.17"	ANIM	PN
P406899	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.07.02.25"	ANIM	PN
P406908	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.06.10.25"	ANIM	PN
P407199	person:delivers_animal  	lu2-{d}nanna	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.06.04.04"	PN	ANIM
P407262	person:delivers_animal  	nu-banda3	masz2	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.07.08.17"	PN	ANIM
P111801	person:delivers_animal  	szabra	masz2	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.09.12.25"	PN	ANIM
P112092	person:delivers_animal  	ARAD2-mu	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.09.00"	PN	ANIM
P112139	person:delivers_animal  	zabar-dab5	masz-da3	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.04.08.03"	PN	ANIM
P112233	person:receives_animal  	gukkal	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.03.11.17"	ANIM	PN
P112244	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.08.18"	ANIM	PN
P112250	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.06.01.23"	ANIM	PN
P112254	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.06.06.01"	ANIM	PN
P145799	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.09.11"	ANIM	PN
P145801	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.10.10"	ANIM	PN
P145838	person:delivers_animal  	nu-banda3	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.07.01.08"	PN	ANIM
P234988	person:delivers_animal  	zabar-dab5	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.08.07.00"	PN	ANIM
P389836	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.01.00"	ANIM	PN
P389934	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.03.05"	ANIM	PN
P390071	person:delivers_animal  	szar-ru-um-ba-ni	masz-da3	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" 00.00.00.29"	PN	ANIM
P390079	person:delivers_animal  	sanga	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.02.00.00"	PN	ANIM
P390128	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.10.07"	ANIM	PN
P390167	person:delivers_animal  	ur-{d}suen	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.07.12.14"	PN	ANIM
P390178	person:delivers_animal  	sanga	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.00.00"	PN	ANIM
P390207	person:delivers_animal  	zabar-dab5	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.08.16"	PN	ANIM
P390252	person:delivers_animal  	szar-ru-um-i3-li2	masz-da3	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.09.06.13"	PN	ANIM
P390255	person:delivers_animal  	ur-nigar{gar}	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.09.06.11"	PN	ANIM
P390296	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.02.10.--"	ANIM	PN
P112842	person:delivers_animal  	sukkal	masz2	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.02.28"	PN	ANIM
P113156	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.08.17"	ANIM	PN
P113158	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.03.06.05"	ANIM	PN
P113173	person:delivers_animal  	ur-nigar{gar}	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.06.00"	PN	ANIM
P113456	person:delivers_animal  	um-mi-a	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.07.27"	PN	ANIM
P113624	person:delivers_animal  	nu-i3-da	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.04.28"	PN	ANIM
P113703	person:delivers_animal  	szabra	masz2	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.35.11.00 (us2 year)"	PN	ANIM
P114071	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.01.00"	ANIM	PN
P114327	person:receives_animal  	gukkal	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.07.04"	ANIM	PN
P114338	person:delivers_animal  	nu-banda3	sila4	" Puzriš-Dagan (mod. Drehem) ?"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.09.12d.05 (intercalated), Amar-Suen.09.12d.06 (intercalated)"	PN	ANIM
P115392	person:receives_animal  	gukkal	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.44.12d.28 (intercalated)"	ANIM	PN
P115409	person:delivers_animal  	zabar-dab5	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.09.28, Šulgi.48.09.29"	PN	ANIM
P115429	person:receives_animal  	masz2	szabra	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.02.09.22"	ANIM	PN
P115531	person:delivers_animal  	lugal-nir-gal2	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.43.05.12"	PN	ANIM
P115532	person:delivers_animal  	ur-{d}en-lil2-la2	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.43.06.09"	PN	ANIM
P115604	person:delivers_animal  	ur-{d}en-lil2-la2	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.00.00.00"	PN	ANIM
P115902	person:delivers_animal  	nu-i3-da	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.07.09.18"	PN	ANIM
P115909	person:delivers_animal  	sanga	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.48.09.11"	PN	ANIM
P116158	person:delivers_animal  	ur-{d}suen	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.06.04.26"	PN	ANIM
P116161	person:delivers_animal  	nu-banda3	masz2	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.46.04.30 (us2 year)"	PN	ANIM
P116167	person:delivers_animal  	ARAD2-mu	gu4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.07.09.01"	PN	ANIM
P116169	person:delivers_animal  	szu-ru-usz-ki-in	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šū-Suen.06.05.00"	PN	ANIM
P116213	person:delivers_animal  	ur-nigar	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.44.11.00"	PN	ANIM
P116822	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.44.03.18"	ANIM	PN
P116826	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.01.04 (us2 year)"	ANIM	PN
P116834	person:receives_animal  	masz2	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.01.03.24"	ANIM	PN
P116838	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.07.00"	ANIM	PN
P116842	person:receives_animal  	masz-da3	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.03.12.06"	ANIM	PN
P117208	person:receives_animal  	sila4	ur-nigar{gar}	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.06.00"	ANIM	PN
P117221	person:delivers_animal  	szabra	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.04.02.12 (us2 year)"	PN	ANIM
P117227	person:delivers_animal  	szabra	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Amar-Suen.05.04.08"	PN	ANIM
P117277	person:delivers_animal  	szabra	sila4	" Puzriš-Dagan (mod. Drehem)"	" Ur III (ca. 2100-2000 BC)"	" Šulgi.45.10.29"	PN	ANIM
